player_id,player_name,draft_year,draft_pick,draft_round,draft_team,college_name,birth_date,age_at_draft,height_in,weight_lb,position,has_college_stats,coll_season,coll_class,coll_pos,coll_conf,coll_g,coll_mp_per_g,coll_pts_per_g,coll_trb_per_g,coll_ast_per_g,coll_stl_per_g,coll_blk_per_g,coll_tov_per_g,coll_fg_pct,coll_fg3_pct,coll_ft_pct,coll_efg_pct,coll_per,coll_ts_pct,coll_usg_pct,coll_bpm,career_seasons,career_g,career_ws,career_ws_per_48,career_bpm,career_vorp,peak_bpm,window_seasons,early_vorp_sum,early_bpm_mean,early_ws_sum,early_per_mean,outcome_tier
pachuza01,Zaza Pachulia,2003,42,2,ORL,,1984-02-10,19.37,83.0,270.0,C,False,,,,,,,,,,,,,,,,,,,,,16.0,1098.0,52.7,0.114,-1.5,2.9,0.6,5,-0.6,-3.02,13.0,13.6,rotation
boganke01,Keith Bogans,2003,43,2,MIL,Kentucky,1980-05-12,23.12,77.0,215.0,SG,True,2002-03,SR,G,SEC,36.0,29.7,15.7,3.8,2.7,1.2,0.1,2.2,0.456,0.383,0.738,0.551,,0.579,,,11.0,671.0,20.4,0.068,-1.5,1.9,0.6,5,-0.5,-2.06,6.1,10.76,rotation
badiama01,Malick Badiane,2003,44,2,HOU,,1984-01-01,19.48,82.0,230.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,bust
bonnema01,Matt Bonner,2003,45,2,CHI,Florida,1980-04-05,23.22,82.0,235.0,C,True,2002-03,SR,F,SEC,33.0,31.4,15.2,6.1,1.5,1.1,0.6,1.6,0.51,0.474,0.733,0.598,,0.619,22.9,,12.0,792.0,38.5,0.138,1.0,10.1,2.6,5,2.2,-0.3,12.5,14.3,all_star
becirsa01,Sani Bečirovič,2003,46,2,DEN,,1981-05-19,22.1,77.0,210.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,bust
willima01,Mo Williams,2003,47,2,UTA,Alabama,1982-12-19,20.52,73.0,198.0,PG,True,2002-03,SO,G,SEC,29.0,35.8,16.4,3.9,3.9,1.2,0.2,3.0,0.431,0.317,0.838,0.508,,0.557,24.8,,13.0,818.0,40.0,0.08,-0.3,10.0,2.3,5,2.9,-1.16,12.6,14.36,all_star
langja01,James Lang,2003,48,2,NOH,,1983-10-17,19.69,82.0,285.0,C,False,,,,,,,,,,,,,,,,,,,,,1.0,11.0,0.1,0.047,-6.4,-0.1,-6.4,1,-0.1,-6.4,0.1,6.6,bust
jonesja02,James Jones,2003,49,2,IND,Miami (FL),1980-10-04,22.72,80.0,218.0,SF,True,2002-03,SR,F,Big East,28.0,34.2,16.9,6.0,1.8,1.6,1.8,2.5,0.447,0.4,0.831,0.504,,0.564,24.9,,14.0,709.0,25.2,0.109,-0.1,5.4,3.2,5,3.1,-0.68,12.4,10.6,starter
morlepa01,Paccelis Morlende,2003,50,2,PHI,,1981-04-19,22.18,74.0,185.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,bust
korveky01,Kyle Korver,2003,51,2,NJN,Creighton,1981-03-17,22.28,79.0,212.0,SF,True,2002-03,SR,F,MVC,34.0,31.8,17.8,6.4,3.1,1.5,0.7,2.0,0.468,0.48,0.908,0.633,,0.674,23.8,,17.0,1232.0,73.4,0.113,0.6,20.7,2.8,5,5.6,0.06,21.0,12.44,all_star
vandera01,Remon van de Hare,2003,52,2,TOR,,1982-05-23,21.09,76.0,220.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,bust
smithto03,Tommy Smith,2003,53,2,CHI,Arizona State,1980-12-04,22.56,82.0,215.0,,True,2002-03,SR,F,Pac-10,32.0,29.1,11.2,6.2,2.7,0.9,2.2,3.0,0.493,0.278,0.574,0.502,,0.519,,,,,,,,,,0,,,,,bust
sinanne01,Nedžad Sinanović,2003,54,2,POR,,1983-01-29,20.41,88.0,250.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,bust
rickeri01,Rick Rickert,2003,55,2,MIN,Minnesota,1983-02-11,20.37,83.0,215.0,,True,2002-03,SO,F,Big Ten,32.0,30.8,15.6,6.2,1.2,0.8,0.8,2.1,0.442,0.353,0.682,0.492,,0.521,26.7,,,,,,,,,0,,,,,bust
huntebr01,Brandon Hunter,2003,56,2,BOS,Ohio University,1980-11-24,22.58,79.0,260.0,PF,True,2002-03,SR,F,MAC,30.0,38.2,21.5,12.6,2.6,0.8,1.2,3.6,0.523,0.297,0.594,0.536,,0.561,,,2.0,67.0,0.7,0.055,-3.7,-0.3,-2.4,2,-0.2,-4.2,0.8,12.4,bust
yuyanxu01,Xue Yuyang,2003,57,2,DAL,,1982-11-04,20.64,84.0,265.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,bust
glynian01,Andreas Glyniadakis,2003,58,2,DET,,1981-08-21,21.85,85.0,280.0,C,False,,,,,,,,,,,,,,,,,,,,,1.0,13.0,-0.2,-0.143,-14.0,-0.2,-14.0,4,-0.2,-14.0,-0.2,-3.3,bust
howardw01,Dwight Howard,2004,1,1,ORL,,1985-12-08,18.55,82.0,265.0,C,False,,,,,,,,,,,,,,,,,,,,,18.0,1242.0,141.7,0.172,1.9,39.0,5.3,5,15.8,2.22,52.3,21.18,superstar
okafoem01,Emeka Okafor,2004,2,1,CHA,UConn,1982-09-28,21.74,82.0,252.0,C,True,2003-04,JR,C,Big East,36.0,32.4,17.6,11.5,1.0,1.0,4.1,2.3,0.599,,0.518,0.599,,0.588,25.1,,10.0,616.0,45.3,0.114,-0.6,6.8,2.1,5,4.5,-0.58,26.1,17.34,starter
